STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,LOCATION,Country,INDICATOR,Indicator,MEASURE,Measure,INEQUALITY,Inequality,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,POL,Poland,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,14.68,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,15.75,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,14.61,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,14.94,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,14.57,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,EST,Estonia,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,14.98,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,OECD,OECD - Total,WL_TNOW,Time devoted to leisure and personal care,L,Value,TOT,,15.07,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUS,Australia,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,14.8,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUT,Austria,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,14.7,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,BEL,Belgium,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,15.6,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CAN,Canada,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,14.6,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FIN,Finland,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,15.3,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,16.4,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,15.7,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,15.4,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,HUN,Hungary,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,15.5,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,IRL,Ireland,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,14.6,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,16.9,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,JPN,Japan,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,14.2,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,15.1,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,15.4,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NZL,New Zealand,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,14.6,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NOR,Norway,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,15,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,POL,Poland,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,14.9,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,16.1,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,14.8,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,15,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,14.8,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,EST,Estonia,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,15.4,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,OECD,OECD - Total,WL_TNOW,Time devoted to leisure and personal care,L,Value,MN,,15.2,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUS,Australia,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,13.65,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,AUT,Austria,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,14.31,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,BEL,Belgium,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,15.33,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,CAN,Canada,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,14.47,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FIN,Finland,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,15.05,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,FRA,France,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,15.92,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,DEU,Germany,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,15.57,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GRC,Greece,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,14.78,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,HUN,Hungary,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,14.55,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,IRL,Ireland,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,14.41,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ITA,Italy,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,15.52,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,JPN,Japan,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,14,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,KOR,Korea,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,14.47,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NLD,Netherlands,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,15.67,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NZL,New Zealand,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,14.53,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,NOR,Norway,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,16.39,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,POL,Poland,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,14.33,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,ESP,Spain,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,15.26,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,TUR,Türkiye,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,14.07,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,GBR,United Kingdom,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,14.88,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,USA,United States,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,14.29,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,EST,Estonia,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,14.55,,A,,HOUR,Hours,0,Units,,
DATAFLOW,OECD:DF_BLI(1.0),Better Life Index,I,OECD,OECD - Total,WL_TNOW,Time devoted to leisure and personal care,L,Value,WMN,,14.84,,A,,HOUR,Hours,0,Units,,
